[2023-06-01 19:15:17] [PKT : BV        ] 00 01 02 00 00 40 00 28 a4 6b 08 94 f6 2d ad f3 7b
[2023-06-01 19:15:18] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:18] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:18] [INFO: OSF-LOG   ] {2|ep-198 } RTTTTT|
[2023-06-01 19:15:18] [nid : BV        ] 65 0
[2023-06-01 19:15:18] [PKT : BV        ] 00 01 02 00 00 41 00 22 09 57 89 73 80 4f bb f1 a6
[2023-06-01 19:15:18] [new_id: BV        ] 1
[2023-06-01 19:15:18] [INFO: App       ] RX: 22 09 57 89 73 80 4f bb
[2023-06-01 19:15:19] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:19] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:19] [INFO: OSF-LOG   ] {2|ep-199 } HRTTTT|
[2023-06-01 19:15:19] [PKT : BV        ] 00 01 02 00 00 41 00 22 09 57 89 73 80 4f bb f1 a6
[2023-06-01 19:15:20] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:20] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:20] [INFO: OSF-LOG   ] {2|ep-200 } RTTTTT|
[2023-06-01 19:15:20] [PKT : BV        ] 00 01 02 00 00 41 00 22 09 57 89 73 80 4f bb f1 a6
[2023-06-01 19:15:21] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:21] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:21] [INFO: OSF-LOG   ] {2|ep-201 } RTTTTT|
[2023-06-01 19:15:21] [nid : BV        ] 66 0
[2023-06-01 19:15:21] [PKT : BV        ] 00 01 02 00 00 42 00 26 fb 4c b8 bc a9 18 0c b8 17
[2023-06-01 19:15:21] [new_id: BV        ] 1
[2023-06-01 19:15:21] [INFO: App       ] RX: 26 fb 4c b8 bc a9 18 0c
[2023-06-01 19:15:22] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:22] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:22] [INFO: OSF-LOG   ] {2|ep-202 } RTTTTT|
[2023-06-01 19:15:22] [PKT : BV        ] 00 01 02 00 00 42 00 26 fb 4c b8 bc a9 18 0c b8 17
[2023-06-01 19:15:23] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:23] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:23] [INFO: OSF-LOG   ] {2|ep-203 } RTTTTT|
[2023-06-01 19:15:23] [PKT : BV        ] 00 01 02 00 00 42 00 26 fb 4c b8 bc a9 18 0c b8 17
[2023-06-01 19:15:24] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:24] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:24] [INFO: OSF-LOG   ] {2|ep-204 } RTTTTT|
[2023-06-01 19:15:24] [nid : BV        ] 67 0
[2023-06-01 19:15:24] [PKT : BV        ] 00 01 02 00 00 43 00 73 3e 9b fd 2f b0 03 a0 01 81
[2023-06-01 19:15:24] [new_id: BV        ] 1
[2023-06-01 19:15:24] [INFO: App       ] RX: 73 3e 9b fd 2f b0 03 a0
[2023-06-01 19:15:25] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:25] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:25] [INFO: OSF-LOG   ] {2|ep-205 } RTTTTT|
[2023-06-01 19:15:25] [PKT : BV        ] 00 01 02 00 00 43 00 73 3e 9b fd 2f b0 03 a0 01 81
[2023-06-01 19:15:26] [INFO: OSF       ] ROUND END
[2023-06-01 19:15:26] [INFO: OSF       ] ROUND START
[2023-06-01 19:15:26] [INFO: OSF-LOG   ] {2|ep-206 } RTTTTT|
[2023-06-01 19:15:26] [PKT : BV        ] 00 01 02 00 00 43 00 73 3e 9b fd 2f b0 03 a0 01 81
[2023-06-01 19:15:27] [INFO: OSF       ] ROUND END
